code;name;description
D2.4.2;D 2.4.2;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter "
D2.4.3;D 2.4.3;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter "
D2.4.4;D 2.4.4;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met watergordijn en biologische wasser "
D2.4.5;D 2.4.5;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, biologische wasser en geurverwijderingssectie "
D2.4.6;D 2.4.6;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 90% emissiereductie met een biologische en een chemische wasser en een biofilter "
D2.5;D 2.5;biologisch luchtwassysteem 85% emissiereductie 
D2.6;D 2.6;chemisch luchtwassysteem 90% emissiereductie 
D3.2.14;D 3.2.14;"gedeeltelijk roostervloer; chemisch luchtwassysteem 95% emissiereductie "
D3.2.15.1;D 3.2.15.1;"gedeeltelijk roostervloer; luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met chemische wasser (lamellenfilter) en waterwasser "
D3.2.15.2;D 3.2.15.2;"gedeeltelijk roostervloer; luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter "
D3.2.15.3;D 3.2.15.3;"gedeeltelijk roostervloer; luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter "
D3.2.15.4;D 3.2.15.4;"gedeeltelijk roostervloer; luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met watergordijn en biologische wasser "
D3.2.15.5;D 3.2.15.5;"gedeeltelijk roostervloer; luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, biologische wasser en geurverwijderingssectie "
G1.1;G 1.1;chemisch luchtwassysteem 90% emissiereductie 
D3.2.15.6;D 3.2.15.6;"gedeeltelijk roostervloer; luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 90% emissiereductie met een biologische en een chemische wasser en een biofilter "
D3.2.17;D 3.2.17;"gedeeltelijk roostervloer; biologisch luchtwassysteem 85% emissiereductie "
D3.2.18;D 3.2.18;"gedeeltelijk roostervloer; chemisch luchtwassysteem 90% emissiereductie "
D3.2.8;D 3.2.8;"gedeeltelijk roostervloer; biologisch luchtwassysteem 70% emissiereductie "
D3.2.9;D 3.2.9;"gedeeltelijk roostervloer; chemisch luchtwassysteem 70% emissiereductie "
D4.1;D 4.1;drijvende ballen in de mest 29% emissiereductie 
E1.10;E 1.10;biologisch luchtwassysteem 70% emissiereductie 
E1.12;E 1.12;biofilter 70% emissiereductie 
E1.13;E 1.13;chemisch luchtwassysteem 70% emissiereductie 
E1.5.3;E 1.5.3;"mestbandbatterij met geforceerde mestdroging; batterijhuisvesting volgens categorie E 1.5.1 met chemisch luchtwassysteem met 90% emissiereductie "
E1.5.4;E 1.5.4;"mestbandbatterij met geforceerde mestdroging; batterijhuisvesting volgens categorie E 1.5.2 met chemisch luchtwassysteem met 90% emissiereductie "
E1.9;E 1.9;chemisch luchtwassysteem 90% emissiereductie 
E2.10;E 2.10;chemisch luchtwassysteem 90% emissiereductie 
E2.13;E 2.13;biologisch luchtwassysteem 70% emissiereductie 
E2.14;E 2.14;biofilter 70% emissiereductie 
E2.15;E 2.15;chemisch luchtwassysteem 70% emissiereductie 
E2.5.3;E 2.5.3;"mestbandbatterij met geforceerde mestdroging; batterijhuisvesting volgens categorie E 2.5.1 met chemisch luchtwassysteem met 90% emissiereductie "
E2.5.4;E 2.5.4;"mestbandbatterij met geforceerde mestdroging; batterijhuisvesting volgens categorie E 2.5.2 met chemisch luchtwassysteem met 90% emissiereductie "
E3.1;E 3.1;chemisch luchtwassysteem 90% emissiereductie 
E3.2;E 3.2;biologisch luchtwassysteem 70% emissiereductie 
E3.5;E 3.5;biofilter 70% emissiereductie 
E3.6;E 3.6;chemisch luchtwassysteem 70% emissiereductie 
E4.10;E 4.10;chemisch luchtwassysteem 70% emissiereductie 
E4.6;E 4.6;chemisch luchtwassysteem 90% emissiereductie 
E4.7;E 4.7 ;biologisch luchtwassysteem 70% emissiereductie 
E4.9;E 4.9;biofilter 70% emissiereductie 
E5.12;E 5.12;biofilter 70% emissiereductie 
E5.13;E 5.13;chemisch luchtwassysteem 70% emissiereductie 
