code	name	description
PRIORITY_PROJECT_MAIN_ROADS	Prioritair project Hoofdwegennet	Prioritair project Hoofdwegennet
PRIORITY_PROJECT_MAIN_SHIPPING_LANES	Prioritair project Hoofdvaarwegennet	Prioritair project Hoofdvaarwegennet
