code	name	description
kipperEuroVIMDC101	kipper Euro-VI (Diesel)	kipper Euro-VI (Diesel)
P1980	Pre-STAGE <= 1980, 130 <= kW < 300 (Diesel)	Pre-STAGE <= 1980, 130 <= kW < 300 (Diesel)
P1990	Pre-STAGE 1981-1990, 130 <= kW < 300 (Diesel)	Pre-STAGE 1981-1990, 130 <= kW < 300 (Diesel)
P1991	Pre-STAGE 1991-STAGE I, 130 <= kW < 300 (Diesel)	Pre-STAGE 1991-STAGE I, 130 <= kW < 300 (Diesel)
PS80MDC31	Pre-STAGE <= 1980, < 18 kW (Diesel)	Pre-STAGE <= 1980, < 18 kW (Diesel)
PS80MDC44	Pre-STAGE <= 1980, 300 <= kW < 560 (Diesel)	Pre-STAGE <= 1980, 300 <= kW < 560 (Diesel)
PS80MDC53	Pre-STAGE <= 1980, 18 <= kW < 37 (Diesel)	Pre-STAGE <= 1980, 18 <= kW < 37 (Diesel)
PS80MDC59	Pre-STAGE <= 1980, 37 <= kW < 56 (Diesel)	Pre-STAGE <= 1980, 37 <= kW < 56 (Diesel)
PS80MDC67	Pre-STAGE <= 1980, 560-1000 kW (Diesel)	Pre-STAGE <= 1980, 560-1000 kW (Diesel)
PS80MDC76	Pre-STAGE <= 1980, 56 <= kW < 75 (Diesel)	Pre-STAGE <= 1980, 56 <= kW < 75 (Diesel)
PS80MDC85	Pre-STAGE <= 1980, 75 <= kW < 130 (Diesel)	Pre-STAGE <= 1980, 75 <= kW < 130 (Diesel)
PS8190M2C1	Pre-STAGE 1981-1990, >= 20 cc en < 50 cc (2-Takt)	Pre-STAGE 1981-1990, >= 20 cc en < 50 cc (2-Takt)
PS8190M2C11	Pre-STAGE 1981-1990, >= 100 en < 225 cc (2-Takt)	Pre-STAGE 1981-1990, >= 100 en < 225 cc (2-Takt)
PS8190M2C6	Pre-STAGE 1981-1990, SH3 >= 50 cm3 (2-Takt)	Pre-STAGE 1981-1990, SH3 >= 50 cm3 (2-Takt)
PS8190M4C16	Pre-STAGE 1981-1990, >= 20 cc en < 50 cc (4-Takt)	Pre-STAGE 1981-1990, >= 20 cc en < 50 cc (4-Takt)
PS8190M4C21	Pre-STAGE 1981-1990, >= 100 en < 225 cc (4-Takt)	Pre-STAGE 1981-1990, >= 100 en < 225 cc (4-Takt)
PS8190M4C26	Pre-STAGE 1981-1990, >= 225 cc (4-Takt)	Pre-STAGE 1981-1990, >= 225 cc (4-Takt)
PS8190MDC32	Pre-STAGE 1981-1990, < 18 kW (Diesel)	Pre-STAGE 1981-1990, < 18 kW (Diesel)
PS8190MDC45	Pre-STAGE 1981-1990, 300 <= kW < 560 (Diesel)	Pre-STAGE 1981-1990, 300 <= kW < 560 (Diesel)
PS8190MDC54	Pre-STAGE 1981-1990, 18 <= kW < 37 (Diesel)	Pre-STAGE 1981-1990, 18 <= kW < 37 (Diesel)
PS8190MDC60	Pre-STAGE 1981-1990, 37 <= kW < 56 (Diesel)	Pre-STAGE 1981-1990, 37 <= kW < 56 (Diesel)
PS8190MDC68	Pre-STAGE 1981-1990, 560-1000 kW (Diesel)	Pre-STAGE 1981-1990, 560-1000 kW (Diesel)
PS8190MDC77	Pre-STAGE 1981-1990, 56 <= kW < 75 (Diesel)	Pre-STAGE 1981-1990, 56 <= kW < 75 (Diesel)
PS8190MDC86	Pre-STAGE 1981-1990, 75 <= kW < 130 (Diesel)	Pre-STAGE 1981-1990, 75 <= kW < 130 (Diesel)
PS8190MLC94	Pre-STAGE 1981-1990, LPG < 56 kW (LPG)	Pre-STAGE 1981-1990, LPG < 56 kW (LPG)
PS8190MLC95	Pre-STAGE 1981-1990, LPG > 560 kW (LPG)	Pre-STAGE 1981-1990, LPG > 560 kW (LPG)
PS8190MLC97	Pre-STAGE 1981-1990, LPG 130 <= kW < 560 (LPG)	Pre-STAGE 1981-1990, LPG 130 <= kW < 560 (LPG)
